Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9558129855715871,0.9456507435188841,0.9697705802968961,0.9575587980545006
Neural Network,0.9476276359600444,0.9455081001472754,0.9530364372469635,0.9492573425633443
Logistic Regression,0.9457547169811321,0.9431666220914683,0.9518218623481781,0.9474744760881246
KNN,0.7136514983351832,0.6529071934401789,0.9456140350877194,0.7724616911035167
